condition,prompt_id,language
debiased,140,Python
debiased,141,Python
debiased,142,Python
debiased,143,Python
debiased,144,Python
debiased,145,Python
debiased,146,Python
debiased,147,Python
debiased,148,Python
debiased,149,Python
debiased,150,Python
debiased,151,Python
debiased,152,Julia
debiased,153,C++
debiased,154,Python
debiased,155,Python
debiased,156,Python
debiased,157,Python
debiased,158,Python
debiased,159,Rust
debiased,160,Python
debiased,161,Python
debiased,162,Python
debiased,163,Python
debiased,164,Python
debiased,165,Rust
debiased,166,Python
debiased,167,Other
debiased,168,Rust
debiased,169,Python
debiased,170,Python
debiased,171,Python
debiased,172,Python
debiased,173,Python
debiased,174,C++
debiased,175,Python
debiased,176,Python
debiased,177,Julia
debiased,178,Python
debiased,179,Julia
debiased,180,Python
debiased,181,Python
debiased,182,C++
debiased,183,Python
debiased,184,Julia
debiased,185,C++
debiased,186,Julia
debiased,187,Python
debiased,188,Python
debiased,189,Java
debiased,190,Julia
debiased,191,Other
debiased,192,Python
debiased,193,Python
debiased,194,Java
debiased,195,Python
debiased,196,Rust
debiased,197,Julia
debiased,198,Python
debiased,199,Java
debiased,200,Java
